job_title,company_name,location,remote_option,tech_stack,experience_years,salary_min,salary_max,currency
"Backend Developer (Java, Spring Boot, Web3)",Pinetree Securities,Ha Noi,onsite,"Java, Blockchain, Design Systems, Kafka, Microservices",4-8 years,,,
"Full-Stack Developer (Typescript, C++, DAP, LSP)",LG Electronics Development Vietnam (LGEDV),Ha Noi,hybrid,"TypeScript, Linux, JavaScript, C++, DApps, API",5+ years,,,
"Site Reliability Engineer (SRE, AWS, Azure, Cloud)",Pizza Hut Digital & Technology,Ho Chi Minh,hybrid,"Incident Response, Cloud, DevSecOps, Terraform, AWS",2-3 years,,,
Java Software Engineer,Pizza Hut Digital & Technology,Ho Chi Minh,hybrid,"Java, Event-Driven Architecture, API, SQL, Spring Boot",,,,
Bridge Engineer (BrSE/Japanese/Project Manager/.NET/C#),IVS,Ho Chi Minh,onsite,"Bridge Engineer, .NET, C#, Japanese, Project Management",2 years,,,
Senior Business Analyst,New Ocean IS,Ho Chi Minh,onsite,"Business Analysis, Prototyping, Stakeholder management, UML",04 years,,,
Senior ReactJS Developer,SSTech,Ho Chi Minh,onsite,"ReactJS, HTML5, English",4 years,,,
SAP ABAP/BTP Expert,CÔNG TY TNHH ABEAM CONSULTING (VIỆT NAM),Ho Chi Minh - Da Nang,hybrid,"SAP, OOP, ERP, English",10+ years,,,
"Middle/Senior AI Engineer (Python, ML)",8Seneca,Ha Noi,onsite,"AI, Machine Learning, CI/CD, Python, PyTorch, TensorFlow",5 years,,,
"Junior iOS Mobile Developer (Swift, English)",Motorist Pte Ltd,Ho Chi Minh,onsite,"iOS, API, Database, OOP, Swift, English",,,,
"Junior Web Developer (Ruby on Rails, ReactJS, VueJS)",Motorist Pte Ltd,Ho Chi Minh,onsite,"Ruby on Rails, NodeJS, PHP, Angular, VueJS, ReactJS",,,,
"Network Platform Developer (Golang, C/C++, Linux)",SkyLab,Ho Chi Minh,onsite,"Networking, Cloud, Python, Linux, Golang, C++",1-2 years,,,
"HO - Database Administrator (Oracle, SQL)",Ngân Hàng Á Châu | ACB,Ho Chi Minh,onsite,"Database, SQL, Unix, Oracle",3 years,,,
"HO - Business Intelligence Executive (Power BI, SQL)",Ngân Hàng Á Châu | ACB,Ho Chi Minh,onsite,"Business Intelligence, Data Analysis, Power BI, Business Analysis",1 years,,,
HN-Junior Implementation Consultant (SQL/Oracle/Java),OpenWay Asia,Ha Noi,onsite,"SQL, Oracle, JavaScript",0-2 years,,,
Web Visual Designer (Figma) - Japanese Company,"Abilive Vietnam Co., Ltd.",Ha Noi,onsite,"Design, Adobe Illustrator, Adobe Photoshop, Japanese, Figma",2 years,,,
Middle Site Reliability Engineer (Python/Golang),DATA NEST,Ha Noi,onsite,"Python, Linux, DBA, CI/CD, Networking, Golang",,,,
UI/UX Designer,Hitachi Digital Services,Ho Chi Minh,hybrid,"Figma, CSS, HTML, ReactJS, Adobe XD, Sketch",3+ years,,,
Site Reliability Engineer (DevOps/Cloud/.Net),Panasonic Vietnam Group – Panasonic R&D Center Vietnam (PRDCV),Ha Noi,onsite,"DevOps, Cloud, Python, Terraform, Kubernetes, Azure",,,,
IMS Developer (Cobol),Capgemini Vietnam,Ho Chi Minh,onsite,"COBOL, English",2 years,,,
[Da Nang] Product Owner,ONE Tech Stop Vietnam Company Ltd,Da Nang,onsite,"Product Owner, Business Analysis, UI-UX, Agile, English",5 years,,,
"Senior/ Lead Data Engineer (Python, SQL, US Product)",Flodesk,Da Nang,onsite,"Data Engineer, English, Python, SQL, Data modeling",5+ years,,,
"Junior Data Engineer (Python, SQL, Database)",Finhay,Ha Noi,onsite,"Data Engineer, Cloud, Oracle, Database, Python, SQL",,,,
"Senior Fullstack Engineer (Go, TypeScript, ReactJ)","Gearment Co.,Ltd",Ho Chi Minh,onsite,"Fullstack, Golang, SQL, TypeScript, AI, ReactJS",5+ years,,,
"DevOps Engineer (Cloud, Terraform, AWS) Up to 50M",GrapeCity,Ha Noi,onsite,"DevOps, Terraform, Cloud, Kubernetes, Docker, AWS",2 years,,,
Manual Tester QC Engineer (Junior/Middle),Floating Cube Studios,Ho Chi Minh,onsite,"Tester, QA QC, MySQL, SQL",2 years,,,
Senior UI/UX Designer (Edtech),DOL English,Ho Chi Minh,onsite,"UI-UX, Design Systems, Adobe XD, Product Design, Figma",5 years,,,
"Frontend Developer (ReactJS, NextJS, Web3)",Pinetree Securities,Ha Noi,onsite,"ReactJS, Agile, TypeScript, NextJS, Web3.js, HTML",4-6 years,,,
Senior Infrastructure Engineer (System/Networking),Gene Solutions,Ho Chi Minh,onsite,"Networking, DevOps, English, AWS, Linux, System Admin",6+ years,,,
[Dubai] Platform Operations Lead (DevOps/SRE),Virtual Security Lab Cyber Risk Management Services L.L.C,Others - Ho Chi Minh - Ha Noi,onsite,"Team Management, AWS, Kubernetes, DevOps, CI/CD",10+ years,,,
"Fullstack .NET Dev (C#, ReactJS, SQL)",Dory Company Limited,Ho Chi Minh,onsite,".NET, Unit test, ReactJS, SQL, HTML5, English",,,,
Senior / Lead Java Backend Developer (Game),BinarixTech,Ho Chi Minh,onsite,"Java, MongoDB, MySQL, Microservices, AWS, SQL",5+ years,,,
"Middle/Senior Automation QA (SDET, QA, QC, CICD)",YOONG,Ho Chi Minh,hybrid,"Automation Test, Tester, QA QC",3+ years,,,
Senior/Lead Data Engineer,GFT Technologies Vietnam,Ho Chi Minh - Ha Noi,hybrid,"Python, Kubernetes, Docker, CI/CD, Microservices, AWS",,,,
Product Manager (Attractive Package),Simple Tech Investment,Ho Chi Minh,onsite,"Product Management, Design, Agile, Lean Project Management",,,,
Product Designer,Simple Tech Investment,Ho Chi Minh,onsite,"UI-UX, Agile, Figma, Product Design",3+ years,,,
[Global Market] Solution Architect,RIKKEISOFT,Ha Noi - Ho Chi Minh,onsite,"English, Java, Python, C#, Golang, PHP",,,,
"Firmware Engineer (Embedded Linux, C/C++, ARM)",IriTech Vietnam,Ho Chi Minh,onsite,"Embedded, C language, C++, Linux, Embedded C",2+ years,,,
"IT Support Helpdesk (Ms365, LAN/WAN, English required)",FOUR HANDS,Ho Chi Minh,onsite,"IT Support, Cloud, Security, English, Microsoft Dynamics 365",1 years,,,
"QA Manager (Tester, Japanese N2+)","ANDPAD VietNam Co., Ltd",Ho Chi Minh - Ha Noi,hybrid,"QA QC, Leadership, Tester, Scrum, Agile, Japanese",5+ years,,,
HN/HCM_ IT Communicator (Japanese – JLPT N1),ZIGExN VeNtura,Ho Chi Minh - Ha Noi,hybrid,"Japanese, Japanese IT Communication",1 years,,,
Product Designer (UX/UI- Remote),Fastboy Marketing,Ho Chi Minh,remote,"UI-UX, PHP",5 years,,,
"Senior/Lead Software Engineer (Java, Golang, English)",GFT Technologies Vietnam,Ho Chi Minh - Ha Noi,hybrid,"Java, Spring Boot, Golang, AWS, English",8+ years,,,
Scrum Master/ Scrum Coach,One Mount Group,Ha Noi - Ho Chi Minh,onsite,"Scrum, Project Management, Agile, Less, Jira",2 years,,,
"Frontend Lead (Reactjs, Javascript)",Everfit,Da Nang,onsite,"ReactJS, TypeScript, AI, English",5 years,,,
Engineering Manager,TymeX,Ho Chi Minh,hybrid,"AWS, Microservices, Python, Team Management, Java",10+ years,,,
Staff Engineer - Backend,what3words,Ho Chi Minh,hybrid,"Java, LLM, FastAPI, Python",8+ years,,,
Senior Engineer - Full Stack,what3words,Ho Chi Minh,hybrid,"React Native, Rust, TypeScript, NodeJS, English",5 years,,,
Python Developer (Công nghệ quản lý dòng tiền),SSI Securities Corporation,Ha Noi,onsite,"FastAPI, Redis, Python, PostgreSql",3+ years,,,
Staff Engineer - Full Stack,what3words,Ho Chi Minh,hybrid,"React Native, Rust, NodeJS, English, TypeScript",8+ years,,,
Mid-Senior Backend .NET Developer,Blogic Systems,Ho Chi Minh,onsite,".NET, C#, ASP.NET",2-4 years,,,
"Senior Solution Architect (Java, English)",GEM Corporation,Ha Noi,onsite,"Solution Architecture, Design Systems, English, Java",10+ years,,,
QC Engineers (Manual Tester - Junior/Middle Level),bbv Vietnam,Ho Chi Minh,hybrid,"QA QC, Tester, SQL",02+ years,,,
Middle/Senior System Developer (Java) - IT Engineering,"Esoft Vietnam., Ltd",Ha Noi,onsite,"Java, AWS",3 years,,,
CV Tư Vấn Giải Pháp/ Business Analyst (Banking/Fintech),SACOMBANK,Ho Chi Minh,onsite,"Business Analysis, Java, Microservices, Cloud, .NET, API",02 years,,,
Senior System Developer (Java) - AI & Automation Team,"Esoft Vietnam., Ltd",Ha Noi,onsite,"Java, Spring Boot",5 years,,,
Frontend Developer (ReactJS/VueJS/AI),WTECH VIETNAM,Ho Chi Minh,onsite,"ReactJS, VueJS, JavaScript, Tailwind, CSS, HTML",,,,
Solution Architect (AI/Data Platform),CÔNG TY CỔ PHẦN CMC OPENAI,Ha Noi,onsite,"Solution Architecture, Data Engineer, Kubernetes, MLOps",8 years,,,
AI Engineer (LLM / GenAI / AI Platform),CÔNG TY CỔ PHẦN CMC OPENAI,Ha Noi,onsite,"PyTorch, TensorFlow, NLP, AI, LLM",3 years,,,
Senior Security Engineer (AWS/ GCP/ Azure),CÔNG TY CỔ PHẦN CMC OPENAI,Ha Noi,onsite,"System Architecture, GCP, Cloud Security, System Admin",3 years,,,
Fullstack Developer (C/C++/C#/Python/SQL),LG CNS Việt Nam,Others,onsite,"C++, C language, Fullstack, SQL, Python, C#",4 years,,,
Fullstack Developer (C#),LG CNS Việt Nam,Others,onsite,"C#, Fullstack",,,,
"UI-UX Designer (Figma, Adobe XD)",10X Technology and Consulting,Ho Chi Minh,onsite,"UI-UX, Adobe Photoshop, Design, Figma, Adobe XD",2 years,,,
Mid-Senior Backend Engineer (Python/Java),KALAPA,Ha Noi,onsite,"Java, NoSQL, PostgreSql, Spring Boot, Django, Python",4 years,,,
Network Engineer,LG CNS Việt Nam,Others,onsite,"Networking, Hardware Troubleshooting",4 years,,,
"Senior .Net Developer(C#, ASP.NET Core, Azure)",Ahasoft,Ho Chi Minh,onsite,".NET, AI, VueJS, C#, Azure, ASP.NET",5 years,,,
Senior Laravel Developer,KOSATEC EMPOWERING GLOBAL INNOVATION,Ho Chi Minh,onsite,"PHP, DevOps, Agile, SQL",,,,
IT Support Specialist (US Market),Blogic Systems,Ho Chi Minh,onsite,"IT Support, Hardware Troubleshooting, Networking",1-2 years,,,
Senior/Lead Data Engineer,Grab (Vietnam) Ltd.,Ho Chi Minh,onsite,"Python, AWS, Scala, Golang, Apache Spark",7+ years,,,
"Senior Frontend Developer (VueJS, ReactJS, Angular)",Ahasoft,Ho Chi Minh,onsite,"VueJS, JavaScript, Angular, ReactJS, AI, TypeScript",5 years,,,
"Senior DevOps Engineer (AWS, Linux, CI/CD)",TJ Tech,Ha Noi,onsite,"DevOps, CloudFormation, Terraform, CI/CD, Linux, AWS",5+ years,,,
Android Developer,LG CNS Việt Nam,Ha Noi,onsite,"Android, Kotlin, Java, SQLite",,,,
"Software Engineer (Java, Python, C++) - Up to 50M",VIETTEL CUSTOMER SERVICE,Ha Noi,onsite,"Java, C++, Oracle, Cloud, MySQL, Python",2 years,,,
Manual QA Engineer (QA QC/Tester),Spendora,Ho Chi Minh,hybrid,"Tester, Usability testing, Mobile Apps, Postman",3+ years,,,
Backend Developer (Golang/AI),WTECH VIETNAM,Ho Chi Minh,onsite,"Golang, Kafka, Microservices, AI, AWS, MySQL",,,,
Senior Backend Developer (Java/AI),WTECH VIETNAM,Ho Chi Minh,onsite,"Java, AI, Solution Architecture, Microservices, Spring, OOP",,,,
Mid/Senior Quality Control/Manual Tester (QA QC),Goline Corporation,Ha Noi,onsite,"Tester, API, SQL, QA QC, Automation Test",2 years,,,
"10 Mid/Senior Java Backend Developer (Spring, AI, SQL)",Goline Corporation,Ha Noi,onsite,"Java, Maven, AI, Spring, Oracle, SQL",2 years,,,
Senior Data Engineer (Fintech/Financial),One Mount Group,Ha Noi,onsite,"Data Engineer, ETL, Database, SQL, Data Warehousing",4+ years,,,
Backend Developer (Node.JS/Golang/Java/Rust/C),Birdeye.so,Ha Noi,hybrid,"Java, C language, MongoDB, Golang, Rust, NodeJS",5 years,,,
Product Manager ( Logistics B2B SaaS),Spendora,Ho Chi Minh,hybrid,"Product Management, Persona Development, Data Analysis",5+ years,,,
Software Developer (.Net),Spendora,Ho Chi Minh,hybrid,".Net Core, Microsoft SQL Server, ASP.NET, Web API, Angular",1-3 years,,,
Senior Platform Engineer,CÔNG TY CỔ PHẦN CHỨNG KHOÁN KAFI,Ho Chi Minh,onsite,"DevOps, Ansible, Helm, AWS, Python",,,,
QA/Test Engineer,AiClipX,Ho Chi Minh,remote,"QA QC, Postman",2+ years,,,
Lập Trình Viên Frontend,Truyền Thông Vietnamnet JSC,Ha Noi,onsite,"ReactJS, CSS, HTML, UI-UX, Angular, VueJS",1 years,,,
Quality Control Specialist (Automation Test/SQL/QA QC),GALAXY HOLDINGS,Ho Chi Minh,onsite,"QA QC, SQL, Automation Test, API, Tester",4 years,,,
"Lead Frontend Engineer (Reactjs, Java, Nodejs)",NAB Innovation Centre Vietnam,Ho Chi Minh,hybrid,"ReactJS, TypeScript, JavaScript, Redux, Java, NodeJS",8+ years,,,
Middle/Senior Frontend Engineer (Reactjs),NAB Innovation Centre Vietnam,Ho Chi Minh,hybrid,"ReactJS, Java, Redux, TypeScript, NodeJS, JavaScript",4+ years,,,
(Senior/Junior) IT Business Analyst,KMS Technology,Ho Chi Minh - Da Nang,hybrid,"Business Analysis, English",2 years,,,
3D Environment Artist (Game / VR),CurlyBlue,Ho Chi Minh,onsite,"Design, Unity, 3ds Max, Maya, Blender, Games",3 years,,,
3D Artist (Game / VR),CurlyBlue,Ho Chi Minh,onsite,"Games, Unity, 3ds Max, Blender",3 years,,,
"Fullstack Developer (Remote) (C#, ASP.NET, English)",VCAPTECH,Ho Chi Minh,remote,"C#, Fullstack, SQL, JavaScript, ASP.NET, English",,,,
Java Developer,NGÂN HÀNG THƯƠNG MẠI TNHH MTV KỶ NGUYÊN THỊNH VƯỢNG (GPBANK),Ha Noi,onsite,"JavaScript, MySQL, AWS, CI/CD, Kubernetes, Docker",7 years,,,
Business Analyst,VIETTEL CUSTOMER SERVICE,Ha Noi,onsite,"UML, BPMN, Wireframing",3 years,,,
Data Engineer,Inbox4us,Ho Chi Minh,onsite,"Data Engineer, Python",3+ years,,,
Fullstack - HTML5/CSS/JS/WordPress,"Alive Việt Nam Co., Ltd",Ho Chi Minh,onsite,"Wordpress, PHP, JavaScript, CSS, HTML5",,,,
Senior Manager – Software Developement,Công ty Cổ phần Chứng khoán VPBank,Ha Noi,onsite,"Team Management, Product Management, Automation Test, Tester",10+ years,,,
"Senior QC Engineer (QA QC, AI)",CÔNG TY TNHH SPACEMIND,Da Nang,onsite,"QA QC, AI, CI/CD, Tester, Automation Test, PostgreSql",,,,
Senior Tech Lead (Full-Stack + AI-Native),CÔNG TY TNHH SPACEMIND,Da Nang,onsite,"Fullstack, Leadership, AI, Cloud, Kafka, PostgreSql",,,,
Security Operations Center Analyst (IT Support),Mắt Bão BPO,Ho Chi Minh,onsite,"IT Support, Security, Cybersecurity",2 years,,,
Senior IT Risks Management Specialist,MB Bank,Ha Noi,onsite,"Risk Management, Power BI, Tableau, Data Analysis, Python",,,,
Senior Data (Engineer | Scientist),DatVietVAC,Ho Chi Minh,onsite,"Big Data, English, Google Cloud, Python, AI, Data-driven",3+ years,,,
Senior Data Engineer,Zuhlke Engineering Vietnam,Ho Chi Minh,hybrid,"Python, ETL, AWS",5 years,,,
Java Developer / Trên 3 năm KN / PV 1 vòng /~45M Gross,SoftRoad Việt Nam,Ha Noi,onsite,"Java, Hibernate, Oracle, Spring, SQL",3 years,,,
QA Engineer (Manual & Automation) - 2 Openings,SMG Swiss Marketplace Group,Ho Chi Minh,hybrid,"QA QC, English, Playwright, Cypress, Postman, Scrum",4+ years,,,
"Senior Back-End Developer (Python, AI/ML, Integration)",Simpson Strong-Tie Vietnam,Ho Chi Minh,hybrid,"Python, Azure, C#, Machine Learning, AI, .NET",5+ years,,,
"Senior AI Engineer (AIML/CV/OCR, Yolo, Python, Pytorch)",Simpson Strong-Tie Vietnam,Ho Chi Minh,hybrid,"AI, OCR, PyTorch, Python, Computer Vision",2+ years,,,
Odoo Functional Consultant,Port Cities Vietnam,Ho Chi Minh,onsite,"Odoo, ERP, English",3+ years,,,
Frontend Engineer (Junior - Middle | Good English),Spartan Dev Inc,Ho Chi Minh - Da Nang,hybrid,"ReactJS, AWS, API, English, JavaScript, TypeScript",2+ years,,,
Senior - Lead Game Tester,Skylink Studio,Ho Chi Minh,onsite,"QA QC, English, Team Management, Games, Tester, Unity",5 years,,,
05 System Admin (Linux),Vietnix,Ho Chi Minh,onsite,"System Admin, SQL, PHP, MySQL, Nginx",,,,
DevOps Engineer (Junior/Middle/Senior),Saigon Technology,Ho Chi Minh - Da Nang,hybrid,"DevOps, Azure, AWS, Cloud, Docker, English",5+ years,,,
Business Analyst (Middle Level),"NEYU Ltd.,",Ha Noi,onsite,"Business Analysis, CRM, UML, Jira, Figma, English",3-4 years,,,
Manual / Automation Tester - Quality Analyst (QA QC),MiTek Vietnam,Ho Chi Minh,onsite,"Tester, Python, SQL, QA QC, Automation Test, English",,,,
"QA Automation Tester (Java, Javascript)",MiTek Vietnam,Ho Chi Minh,onsite,"Automation Test, Python, JavaScript, Robot Framework, Tester",3+ years,,,
05 Senior/Lead Product Manager ( Fintech),M_Service (MoMo),Ho Chi Minh,onsite,"Product Management, Product Owner, Business Analysis, UI-UX",3+ years,,,
Senior AI Engineer,KOSATEC EMPOWERING GLOBAL INNOVATION,Ho Chi Minh,onsite,"Python, Agile",,,,
Web Designer (Game),VTC Online,Ha Noi,onsite,"UI-UX, CSS, HTML, Adobe XD, Figma, Design",2 years,,,
Quality Assurance (Middle),"SOFTFLEX LLC CO.,LTD",Ha Noi,onsite,"English, QA QC, Tester",4-6 years,,,
Senior Business Analyst (Product Owner/Data Driven),RGP Software Processing,Ho Chi Minh,onsite,"Business Analysis, Product Management, Games, Product Owner",4+ years,,,
Infrastructure & System Administrator (Linux),Magnolia,Ho Chi Minh,onsite,"Linux, System Admin, Networking, Security, Cloud, English",,,,
Lumera - Quality Assurance Engineer,Scandinavian Software Park,Ha Noi,onsite,"Unit test, Tester, English, CI/CD",5 years,,,
AI Engineer (Python),SAPO,Ha Noi,onsite,"AI, Python, Computer Vision, NLP",3 years,,,
"UI/UX Designer (Figma, English)",Floware,Ho Chi Minh,onsite,"UI-UX, Design, English",2+ years,,,
QA QC Engineer (Manual Tester),Floware,Ho Chi Minh,onsite,"Tester, Playwright, QA QC, English",3 years,,,
Senior/Lead Business Analyst,FPT IS,Ha Noi,onsite,"Business Analysis, Scrum, Agile, SRS",4 years,,,
"Implementation Engineer (JavaScript, API, Integration)",OL Vietnam,Ho Chi Minh - Ha Noi,onsite,"JavaScript, Enterprise Architecture, API, English",,,,
AI Backend Engineer (Middle/Senior),TymeX,Ho Chi Minh,hybrid,"Java, Python, FastAPI, Microservices, AWS, AI",4 years,,,
Mid/Senior Android Engineer,SMG Swiss Marketplace Group,Ho Chi Minh,hybrid,"Android, English, Clean Architecture, MVVM, Kotlin",4+ years,,,
Magento Frontend Developer,BSS Group,Ha Noi,onsite,"CSS, English",3+ years,,,
"Product Owner (Blockchain, AI)",AI AVATAR,Ha Noi,onsite,"Product Owner, Project Management, Product Management, AI",3+ years,,,
"Product Designer (UI-UX, Figma, Photoshop)",AI AVATAR,Ha Noi,onsite,"UI-UX, Adobe Photoshop, Illustrator, Figma, Design",3+ years,,,
Games Backend Golang Engineer,Vinsprite Tech,Ho Chi Minh,onsite,"Golang, Games, Docker, MySQL, Kafka, English",3+ years,,,
Junior Game QA (Quality Assurance),Vinsprite Tech,Ho Chi Minh,onsite,"Jira, English",1+ years,,,
Senior Network Engineer (English & Japanese),Renesas Design Vietnam,Ho Chi Minh,hybrid,"Networking, Cisco",5+ years,,,
Cloud Consultant,NetNam Corporation - Branch in HCMC,Ho Chi Minh,onsite,"Cloud, GCP, VMware, Azure, AWS, CloudFormation",,,,
Chuyên viên Kiểm thử phần mềm - Manual Tester,MB Bank,Ha Noi,onsite,"Tester, TestRail, Android studio, Scrum, Appium, Agile",2 years,,,
Security Engineer (Cloud & CI/CD),VIETTEL CUSTOMER SERVICE,Ha Noi,onsite,"Security, DevSecOps, AWS, Linux, SIEM, CI/CD",2 years,,,
"Senior Software Engineering (Java, .NET, SQL, Agile)",Techcombank,Ha Noi,onsite,"Java, Agile, SQL, .NET",5 years,,,
"Senior Embedded QT Architect (C++, Linux, AI-First)",NTP-Tech,Ha Noi,onsite,"Embedded, Clean Architecture, AI, Linux, C++, Qt",5-8 years,,,
"AI Engineer (NLP, ML)",VIETTEL CUSTOMER SERVICE,Ha Noi,onsite,"AI, Machine Learning, Deep Learning, TensorFlow, Python",3 years,,,
.NET developer (ERP sản xuất phức tạp),Jinzai Tech,Ha Noi,onsite,".NET, .Net Core, ERP, Bootstrap, JavaScript",1 years,,,
Senior Fullstack Developer (ReactJS & Java) - English,Cloud Technology,Ho Chi Minh,hybrid,"Java, AWS, Cloud, ReactJS, English",6+ years,,,
Backend .NET Developer - CV Phát triển Ứng dụng nội bộ,HDBank,Ho Chi Minh,onsite,".NET, Microsoft SQL Server, PostgreSql, SQL, Oracle",4 years,,,
"Senior/ Middle Full-stack Developer (.NET, Java, PHP)",BYCN IT Vietnam,Ho Chi Minh,hybrid,"Fullstack, JavaScript, PHP, Java, .NET",4+ years,,,
"DevOps Engineer (AWS, Cloud)",CUBICSTACK SOLUTIONS,Ho Chi Minh,onsite,"DevOps, Terraform, Docker, Linux, Cloud, AWS",1 years,,,
UI/ UX Designer,Simpson Strong-Tie Vietnam,Ho Chi Minh,onsite,"CSS, JavaScript, Design, English, HTML5",2+ years,,,
Backend Developer (Java/ Odoo (Python)) - VIC,Viettel Group,Ha Noi,onsite,"Java, System Architecture, Spring Boot, Kafka, Oracle",02 years,,,
Middle/Senior Full-stack .NET Developer,Công ty Cổ phần Workbase,Ha Noi,onsite,".NET, SQL, HTML, JavaScript, CSS, ASP.NET",2 years,,,
"Mid/Senior .NET Developer (C#, Angular/React)",Saigon Technology,Ho Chi Minh - Da Nang,onsite,".NET, Web API, English, ASP.NET, Angular, C#",3+ years,,,
"Automation Testing Engineer (Python, C++)",BAN VIEN CORPORATION,Ho Chi Minh,onsite,"Python, C++, Automation Test, Embedded C, Embedded",,,,
"Junior Quality Control (QA QC, Tester, Jira, REST APIs)",Công ty TNHH SR GROUP,Ho Chi Minh,onsite,"QA QC, Postman, Jira, API, Tester",,,,
"Mid/Sr .Net Engineer (RESTful APIs, Docker, CI/CD)",Công ty TNHH SR GROUP,Ho Chi Minh,onsite,".NET, Docker, CI/CD, Redis, Design Systems, API",4+ years,,,
Senior Backend Developer (Java),HSC,Ho Chi Minh,onsite,"Java, Software Architecture, C++, NodeJS, .NET, Python",,,,
"FullStack Developer (NodeJS, ReactJS, AI)",HDS Services Vietnam,Ho Chi Minh,onsite,"Fullstack, CI/CD, ReactJS, AI, NodeJS, JavaScript",4+ years,,,
"Fullstack Software Engineer (AWS, Python, Agile)",Vietlink,Ho Chi Minh,onsite,"AWS, DevOps",,,,
DSP Software Engineer (Embedded/Telecom/English),Terralogic,Ho Chi Minh,onsite,"Embedded, AI, Cisco, CI/CD, C++, Python",5 years,,,
Senior Front-end Developer (NextJS/ReactJS),CUBICSTACK SOLUTIONS,Ho Chi Minh,onsite,"ReactJS, Git, NextJS, TypeScript, NodeJS, JavaScript",4+ years,,,
"Fullstack Developer (Java or NodeJS, AWS, API)",Tripsoft Studio,Ha Noi,onsite,"Fullstack, GCP, API, AWS, NodeJS, Java",3 years,,,
"Mid/Sr Fullstack Engineer (C#, .NET, React, SQL, Azure)",MiTek Vietnam,Ho Chi Minh,onsite,"Fullstack, Azure, ReactJS, SQL, C#, .NET",3+ years,,,
"AI Engineer (Fresher, Ứng viên chuẩn bị tốt nghiệp)",MB Bank,Ha Noi,onsite,"AI, TensorFlow, PyTorch, Microservices, C++, Python",01 years,,,
AI Engineer (Computer Vision/NPL/LLM),MB Bank,Ha Noi,onsite,"AI, Python, Flask, Computer Vision, Microservices, C++",,,,
"Solution Architect (open for SA, Devlead)",MB Bank,Ha Noi,onsite,"Solution Architecture, Redis, Java, Microservices, Cloud",04 years,,,
"BackEnd Engineer (Fresher, UV chuẩn bị tốt nghiệp)",MB Bank,Ha Noi,onsite,"Java, MongoDB, PostgreSql, Spring, Oracle, SQL",1 years,,,
"Business Analyst (Project Manager, Agile)",MB Bank,Ha Noi,onsite,"Business Analysis, Project Management, Agile",01 years,,,
Designer Lead (UI/UX)/ Project Manager (English),Terralogic,Ho Chi Minh,onsite,"UI-UX, Team Management, Project Management",2 years,,,
"Senior Frontend Developer (ReactJS, NextJS, English)",ekino Vietnam,Ho Chi Minh,onsite,"NextJS, English, JavaScript, TypeScript, Redux, ReactJS",4+ years,,,
Senior iOS Engineer,VNGGames,Ho Chi Minh,onsite,"iOS, CI/CD, Unit test, Objective C, Swift, Mobile Apps",4+ years,,,
Technical / Solution Architect  (C#/ WPF/ Cloud / AWS),Hitachi Digital Services,Ho Chi Minh - Da Nang - Ha Noi,hybrid,"Software Architecture, C#, WPF, AI, Solution Architecture",7+ years,,,
"Fullstack Developer (PHP/Python, React/Vue)",HDWEBSOFT,Ho Chi Minh,onsite,"Python, PHP, VueJS, ReactJS",2+ years,,,
"Solution Architecture (Java, AWS, BI) - KCN - 4M017",MSB,Ha Noi,onsite,"Java, Security, Business Intelligence, Kubernetes, AWS",7 years,,,
Mid/Senior Data Engineer (English),Relia Software,Ho Chi Minh,onsite,"Data Engineer, English, Data Warehousing, AWS, SQL",4-6 years,,,
AI Engineer,Deliveree On-Demand Logistics,Ho Chi Minh,hybrid,"AI, SQL, Machine Learning, LLM",2 years,,,
"Backend Engineer (NodeJS, AWS)",Medigo,Ho Chi Minh,onsite,"NodeJS, AWS Lambda, DynamoDB, TypeScript, SQL, AWS",3 years,,,
Intermediate .NET Developer,Topicus Vietnam,Ho Chi Minh,hybrid,".NET, C#, English",3+ years,,,
Senior Backend Engineer (Java/Go),TIKI,Ho Chi Minh,onsite,"Java, Microservices, Redis, Kafka, PostgreSql, Golang",3+ years,,,
Junior PHP Developers,Maruweb Viet Nam,Ho Chi Minh,onsite,"PHP, Laravel, Magento",,,,
Automation Tester (Selenium / Playwright / Cypress),Zyneric,Ho Chi Minh,onsite,"Automation Test, Cypress, Jira, CI/CD, Playwright, Selenium",3 years,,,
Data Engineer,Fullerton Health,Ho Chi Minh,onsite,"Data Engineer, English, AI, Azure, SQL, Python",5 years,,,
VR/AR Unity Engineer,VINA TAKEUCHI,Ho Chi Minh,onsite,"C#, Blender, Unity, AWS",,,,
AI Engineer (LLM/AI Agent Developer/Computer Vision),VINA TAKEUCHI,Ho Chi Minh,onsite,"AI, Deep Learning, Machine Learning, LLM, DevOps, SQL",,,,
Backend Developer (NestJS/PHP/Laravel/PostgreSQL),VINA TAKEUCHI,Ho Chi Minh,onsite,"NestJS, PHP, Microservices Architecture, Laravel, Docker",1 years,,,
Frontend Developer (Next JS/React),VINA TAKEUCHI,Ho Chi Minh,onsite,"NextJS, UI-UX, TypeScript, Tailwind, ReactJS, Redux",,,,
"Mid/Senior Backend Developer (NodeJS, English)",Fullerton Health,Ho Chi Minh,onsite,"NodeJS, NestJS, MySQL, TypeScript, Azure, JavaScript",3+ years,,,
Technical Business Analyst (English),CUBICSTACK SOLUTIONS,Ho Chi Minh,onsite,"Business Analysis, Data Analysis, SQL, English, Tester",3+ years,,,
