job_title,company_name,location,remote_option,tech_stack,experience_years,salary_min,salary_max,currency
[Global Market] Database Developer (SQL),RIKKEISOFT,Ha Noi,onsite,"NoSQL, SQL, English",2+ years,,,
Senior Golang Developer,CÔNG TY TNHH FINAN,Ho Chi Minh,onsite,"Golang, Microservices, Kubernetes, Docker, Redis",3+ years,,,
Senior QA/QC Engineer,CÔNG TY TNHH FINAN,Ho Chi Minh,onsite,"QA QC, Selenium, Python, Java, Postman",3+ years,,,
Data Engineer (Middle),CÔNG TY TNHH FINAN,Ho Chi Minh,onsite,"Python, MongoDB, PostgreSql, AI, SQL",5+ years,,,
Senior Java AI Backend Engineer (English),HRS Group,Ho Chi Minh,hybrid,"Java, English, AWS, Python, AI",,,,
Technical  Animator (Avatar Motion & Unity Integration),Optimizer Việt Nam,Ho Chi Minh,onsite,"Unity, Blender, Design",2 years,,,
Backend Engineer (Go/Java),Trusting Social,Ho Chi Minh,onsite,"Golang, CI/CD, Java, Database, Security, Microservices",5+ years,,,
"(Senior) Mobile Developer (iOS, Android)",GFT Technologies Vietnam,Ha Noi - Ho Chi Minh,hybrid,"iOS, Java, Swift, Kotlin, Android, English",5+ years,,,
Engineering Director (Open for Expat),"MONEY FORWARD VIETNAM CO.,LTD",Ho Chi Minh,hybrid,"Project Management, Team Management, English",10+ years,,,
Technical Lead (Go/Java/Kotlin/TypeScript/Python),"MONEY FORWARD VIETNAM CO.,LTD",Ho Chi Minh,hybrid,"Golang, Python, TypeScript, Kotlin, Java",5+ years,,,
"Software Engineer II (C#, dotnet,Java)",Motorola Solutions,Ho Chi Minh,onsite,"C#, Golang, Java, .NET",3 years,,,
Project Manager,MOR,Ho Chi Minh - Ha Noi,onsite,"Project Management, Agile, English",3+ years,,,
CV Báo cáo tuân thủ - Compliance Reporting Officer,MB Bank,Ha Noi,onsite,"SQL, Power BI, Data Privacy / Compliance, Oracle, Tableau",1 years,,,
Data Quality Management Specialist,MB Bank,Ha Noi,onsite,"Data Privacy / Compliance, Cloud Security, Data Quality Tools",1 years,,,
Frontend Engineer,Vulcan Labs,Ho Chi Minh,onsite,"TypeScript, Tailwind, NextJS, ReactJS",3+ years,,,
"Mid/Sr/Lead .NET Backend Developer (C#, SQL)",NTQ Solution,Ha Noi,onsite,".NET, Team Management, SQL, English, C#, Azure",,,,
"Infrastructure Architecture Expert (Cloud, On-premise)",ABBANK,Ha Noi,onsite,"Cloud, DevOps, System Admin, Software Architecture, Security",10-15 years,,,
[All level] Network Administrator (Cisco/HP/Juniper),MB Bank,Ha Noi,onsite,"Networking, PCI DSS, Juniper, Cisco, System Admin",01 years,,,
Chuyên viên Quản lý Hạ tầng Trung tâm Dữ liệu,MB Bank,Ha Noi,onsite,"Linux, MySQL, Security, Penetration Testing, SQL",,,,
Senior Bridge Engineer - BrSE (Japanese N2+),"ANDPAD VietNam Co., Ltd",Ho Chi Minh - Ha Noi,hybrid,"Bridge Engineer, Japanese, Project Management, QA QC",3 years,,,
"Senior iOS Engineer (Swift, MVVM, MVC)",EPAM Vietnam,Ho Chi Minh - Ha Noi,hybrid,"iOS, OOP, AI, MVC, Swift, MVVM",,,,
Data Engineer (Java/Python/Scala/Hadoop/Kafka),Giao Hàng Tiết Kiệm,Ha Noi,onsite,"Data Engineer, Hadoop, Big Data, Scala, Python, Java",3 years,,,
"Senior Java Engineer (Spring Boot, Microservices, SQL)",EPAM Vietnam,Ho Chi Minh - Ha Noi,hybrid,"Java, CI/CD, SOLID Principles, Spring Boot, Microservices",5 years,,,
Java Spring Boot (20-40 Mil),Nitori Digital Base Vietnam,Ha Noi,hybrid,"Java, JavaScript, Angular, English, Spring Boot",03 years,,,
[HCM] Salesforce Developer (All level) | Up to 55M VND,Hybrid Technologies,Ho Chi Minh,onsite,"Salesforce, CRM, JavaScript, Japanese, English",6+ years,,,
"Mobile App Developer (.NET, Xamarin, iOS/Android, AI)",Song Technologies LLC,Ho Chi Minh,onsite,".NET, English, Xamarin, Android, iOS, AI",3 years,,,
Technical Architect,HSC,Ho Chi Minh,onsite,"Team Management, Software Architecture, Leadership",10 years,,,
Frontend Developer (Shopify/Wordpress Developer),SOLIS LAB,Ha Noi,onsite,"JavaScript, HTML, VueJS, ReactJS, TypeScript, CSS",,,,
Security Architect / Senior Security Engineer,Prime Tech Solution,Ho Chi Minh,hybrid,"Cybersecurity, Zero Trust Architecture, Cryptography, Security",,,,
Data Engineer Leader,Fullerton Health,Ho Chi Minh,onsite,"Data Engineer, AI, Data Privacy / Compliance, Data Warehousing",12+ years,,,
Software Asset Management Specalist,Renesas Design Vietnam,Ho Chi Minh,hybrid,"Scrum, Team Management",2 years,,,
"Manual QA Engineer/Tester (QA QC, English, Insurance)",FWD VTC,Ho Chi Minh,hybrid,"QA QC, Tester, Agile",2 years,,,
"Backend Technical Lead ( Storefront, C#, .NET. ASP.NET)",Crossian,Ha Noi,onsite,"C#, ASP.NET, Database, Microservices, Java, .NET",7 years,,,
GCP Cloud specialist (Japanese speaking),Capgemini Vietnam,Ho Chi Minh,onsite,"GCP, Japanese, Terraform, Cloud",5+ years,,,
Senior Application Operations (Vận hành ứng dụng),Công ty Cổ phần Thanh toán số MobiFone,Ha Noi,onsite,"DevOps, System Architecture, Splunk, CI/CD, Grafana",3 years,,,
GNSS Engineer – Android Automotive (Good English),Suntech Vina (Hợp tác cùng tập đoàn CNTT hàng đầu Ấn độ),Ha Noi,onsite,"C++, Sensor Fusion, Embedded, English, Android",,,,
Software Project Manager – Japanese OR Chinese Speaking,Bosch Global Software Technologies Company Limited,Ho Chi Minh,onsite,"Embedded, Chinese, Japanese, Embedded C",8 years,,,
Team Leader SOC/ Pentest,NGÂN HÀNG THƯƠNG MẠI TNHH MTV KỶ NGUYÊN THỊNH VƯỢNG (GPBANK),Ha Noi,onsite,"Pentest, Leadership, API, Security",10 years,,,
"Automation Tool Developer (Python, Embedded, English)",LG Electronics Development Vietnam (LGEDV),Ha Noi,onsite,"Python, Embedded, ThreadX, OOP, English",3 years,,,
[Sign-on Bonus] Project Leader/ BrSE (Japanese N2+),NEC Vietnam,Da Nang,onsite,"Bridge Engineer, Angular, Japanese IT Communication, Java",5+ years,,,
"Software Engineer (Embedded C, MCU, RTOS)",LG Electronics Development Vietnam (LGEDV),Ha Noi,onsite,"Embedded C, RTOS",2 years,,,
"R&D System Engineer (VMware, Docker, Kubernetes)",GLOBALTECH,Ho Chi Minh,onsite,"System Admin, Networking, Security, VMware, Kubernetes",2 years,,,
"Automotive Software Engineer (C++, OOP, Middleware)",LG Electronics Development Vietnam (LGEDV),Ha Noi,onsite,"C++, Middleware, Linux, OOP, Embedded",,,,
Senior Technical Product Manager (Agentic AI),Katalon,Ho Chi Minh,onsite,"AI, Product Metrics, Business Analysis, LLM, Product strategy",5+ years,,,
Application & Cloud Security Engineer,CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY ĐA NĂNG VINMOTION,Ha Noi,onsite,"Application Security, API, OWASP, Cloud Security",3+ years,,,
"IT Business Analyst (T24, banking, finance)",ABBANK,Ha Noi,onsite,"Business Analysis, Data Analysis, Jira",5 years,,,
[REMOTE] 2D Game Artist,Athena Studio,Ho Chi Minh,remote,"UI-UX, Design, Generative AI, Spine, Adobe Photoshop",4+ years,,,
[REMOTE] Game Designer,Athena Studio,Ho Chi Minh,remote,"Design, Games",5+ years,,,
QA Engineer (Automation/Manual Testing)~Up to $1500,Ewoosoft Vietnam,Ha Noi,onsite,"QA QC, English, Automation Test, Tester, AI",3+ years,,,
Data Platform Engineer,Home Credit Vietnam,Ho Chi Minh,onsite,"Machine Learning, Kubernetes, Spark, Linux, Data Engineer",3 years,,,
"Senior System Engineer (Linux, Windows Server, Cloud)",One Mount Group,Ha Noi - Ho Chi Minh,onsite,"Linux, Terraform, CI/CD, Docker, Cloud, Windows Server",3 years,,,
HTML/Wordpress developer - Japanese Company,"Abilive Vietnam Co., Ltd.",Ha Noi,onsite,"Wordpress, HTML, MySQL, PHP, JavaScript, CSS",02 years,,,
"Technical PM (Da Nang, Can Tho, Hybrid)",Dirox,Ho Chi Minh,hybrid,"Project Management, AI, Software Architecture",8+ years,,,
"Business Analyst (Da Nang, Can Tho, Hybrid)",Dirox,Ho Chi Minh,onsite,"Business Analysis, Scrum, Agile, English",5+ years,,,
"Expert/Senior Monitoring Engineer (Grafana, Prometheus)",Techcombank,Ha Noi,onsite,"DevOps, InfluxDB, Splunk, Prometheus, Grafana",3+ years,,,
Mid/Sr DevOps Engineer (Terraform/Kubernetes),Saritasa,Ho Chi Minh,onsite,"DevOps, Terraform, Kubernetes, Networking, PowerShell",3 years,,,
Product Owner,MB Life,Ha Noi,onsite,"Product Owner, Product strategy, Agile, Stakeholder management",02 years,,,
Middle System Admin,Thai Son Soft,Ha Noi,onsite,"System Admin, Networking, Windows, Linux, IT Support",2-3 years,,,
Senior Delivery Lead,Techcombank,Ha Noi,onsite,"Project Management, English, ITIL Foundation",8 years,,,
"Senior Game Designer (Puzzle, Board Games)",ANTADA,Ho Chi Minh,onsite,"Games, Design",3 years,,,
Senior Database Administrator,NAB Innovation Centre Vietnam,Ho Chi Minh,hybrid,"DBA, SQL, PostgreSql, Database, Cloud, Oracle",6-8 years,,,
Principal QC Engineer,Titan DMS,Ho Chi Minh,hybrid,"Team Management, Agile, QA QC, English, CI/CD",7+ years,,,
Senior Android Developer (Kotlin / Java),Sigma Solutions,Ha Noi,onsite,"Android, Mobile Apps, MVVM, OOP, Java, Kotlin",3+ years,,,
"Enterprise Architect (Fintech, TOGAF, Cloud)",Mcredit - Công ty Tài chính TNHH MB Shinsei,Ha Noi,onsite,"Enterprise Architecture, .NET, Spring Boot",8 years,,,
"Senior iOS Developer (Swift, Objective-C, OOP)",Sigma Solutions,Ha Noi,onsite,"iOS, Mobile Apps, MVC, OOP, Objective C, Swift",3+ years,,,
Fullstack Software Engineer,Talosix,Ho Chi Minh,hybrid,"Fullstack, Python, SQL, Java, NodeJS, JavaScript",3+ years,,,
Mid/ Senior Game developer ( Cocos Creator ),BinarixTech,Ho Chi Minh,onsite,"Games, JavaScript, C#, HTML5, Cocos Creator, TypeScript",,,,
Senior QC Engineer,Vietlink,Ho Chi Minh,onsite,"JavaScript, Python",7 years,,,
Delivery Leader/Delivery Manager,Capgemini Vietnam,Ho Chi Minh,onsite,"Project Management, Leadership, Java, Risk Management",5+ years,,,
Big Data Admin (Kafka/Docker/Data Warehousing/Spark),Giao Hàng Tiết Kiệm,Ha Noi,onsite,"Big Data, Data Warehousing, Docker, MySQL, Kafka",1 years,,,
Fullstack Developer (Python/VueJS or Angular - 10Y EXP),LAVEGA,Da Nang,onsite,"Python, PostgreSql, MongoDB, FastAPI, English, VueJS",10 years,,,
.NET Developer (Mortgage Systems),Topicus Vietnam,Ho Chi Minh,hybrid,".NET, English",3 years,,,
"Remote Mobile App Developer (Java, Kotlin, Android)","Solventus, LLC",Da Nang - Ha Noi - Ho Chi Minh,remote,"Android, Application Security, Java, API, Android studio",3+ years,,,
"Remote Fullstack Developer(TypeScript, ReactJS, NodeJS)","Solventus, LLC",Da Nang - Ha Noi - Ho Chi Minh,remote,"TypeScript, NextJS, AWS, NodeJS, PostgreSql, ReactJS",3+ years,,,
Principal/Lead Backend Engineer (Java/Kotlin),"MONEY FORWARD VIETNAM CO.,LTD",Ho Chi Minh,hybrid,"Java, English, AWS, Kotlin, Software Architecture",8 years,,,
Cybersecurity Operations Manager - SOC Manager,AURIFY,Ho Chi Minh,hybrid,"Cybersecurity, DevSecOps, Vulnerability Management, Linux",5 years,,,
Chuyên viên Phát triển ứng dụng (Java Developer),SACOMBANK,Ho Chi Minh,onsite,"Java, Windows Server, API, Linux, Microservices, Spring",02 years,,,
"Chuyên viên Phát triển MIS (Data Analyst/ Engineer, BI)",SACOMBANK,Ho Chi Minh,onsite,"Data Analysis, PL/SQL, Oracle, Data modeling, ETL",1 years,,,
Chuyên viên QC (Automation Tester/ QA QC),SACOMBANK,Ho Chi Minh,onsite,"Automation Test, Tester, QA QC, English",03 years,,,
"QA Architect (QA QC, Tester, Playwright, Selenium)",MEALSUITE,Ho Chi Minh,onsite,"Tester, Playwright, Automation Test, Selenium, QA QC",,,,
Junior/Senior Cloud Infrastructure Engineer,GLOBALTECH,Ho Chi Minh,onsite,"OpenStack, Ansible, Prometheus, Kubernetes, Python",2 years,,,
Requirements Management Tools DevOps Engineer,Renesas Design Vietnam,Ho Chi Minh,hybrid,"HP ALM, DevOps, 3ds Max",,,,
Senior Application Security/ Threat Modelling,Dai-ichi Life Việt Nam,Ho Chi Minh,onsite,"Application Security, Microservices, API, DevSecOps",4+ years,,,
Project Team leader/Project Manager (JLPT N2),"NTT e-MOI.,JSC",Ha Noi,onsite,"Project Management, Japanese",3-15 years,,,
Network Operation Engineer,LG CNS Việt Nam,Ha Noi,onsite,"CompTIA Network+, Networking, Python, Cisco, Cloud, AWS",,,,
(HN/HCM) Senior Frontend Engineer (JavaScript (ES6+)),One Mount Group,Ho Chi Minh - Ha Noi,onsite,"JavaScript, TypeScript",4+ years,,,
AI Scientist - Enterprise AI Research,Base Inc.,Ha Noi,onsite,"AI, Machine Learning, Deep Learning",,,,
"(Product - Focused) AI Engineer (Python, LLM, AI/ML)",Base Inc.,Ha Noi,onsite,"AI, LLM, Python, Machine Learning",3+ years,,,
Systems Administrator (Linux/Cloud) - ID2694,VPBank,Ha Noi,onsite,"System Admin, Cloud, AWS, Linux, Windows Server",,,,
