job_title,tech_stack,experience_years,location,company_name,remote_option,salary_min,salary_max,currency
Manual / Automation Tester - Quality Analyst (QA QC),"QA QC, SQL, Automation Test, API, Tester",,Ho Chi Minh,MiTek Vietnam,onsite,,,
"QA Automation Tester (Java, Javascript)","QA QC,  API, Tester",3+ years,Ho Chi Minh,MiTek Vietnam,onsite,,,
05 Senior/Lead Product Manager ( Fintech),"AI, Product Metrics, Business Analysis, LLM, Product strategy, Product Management",3+ years,Ho Chi Minh,M_Service (MoMo),onsite,,,
Senior AI Engineer,"PyTorch,Deep Learning, Machine Learning, AI, Docker, Python",,Ho Chi Minh,KOSATEC EMPOWERING GLOBAL INNOVATION,onsite,1500,4500,USD
Web Designer (Game),"HTML, CSS, JavaScript",2 years,Ha Noi,VTC Online,onsite,,,
Quality Assurance (Middle),"QA QC, SQL, Automation Test, API, Tester",4-6 years,Ha Noi,"SOFTFLEX LLC CO.,LTD",onsite,,,
Senior Business Analyst (Product Owner/Data Driven),"AI, Product Metrics, Business Analysis, LLM, Product strategy, Product Management",4+ years,Ho Chi Minh,RGP Software Processing,onsite,,,
Infrastructure & System Administrator (Linux),"Linux, System, Admin, Networking, Security, Cloud, English",,Ho Chi Minh,Magnolia,onsite,1500,2000,USD
Lumera - Quality Assurance Engineer,"QA QC, SQL, Automation Test",5 years,Ha Noi,Scandinavian Software Park,onsite,,,
AI Engineer (Python),"AI, Docker, Microservices, Python",3 years,Ha Noi,SAPO,onsite,800,1600,USD
"UI/UX Designer (Figma, English)","Figma, English",2+ years,Ho Chi Minh,Floware,onsite,,,
QA QC Engineer (Manual Tester),"QA QC, SQL, Automation Test, API, Tester",3 years,Ho Chi Minh,Floware,onsite,,,
Senior/Lead Business Analyst,"Business Analysis, Scrum, Agile, SRS",4 years,Ha Noi,FPT IS,onsite,,,
"Implementation Engineer (JavaScript, API, Integration)","ReactJs, TypeScript, NodeJs",,Ho Chi Minh - Ha Noi,OL Vietnam,onsite,,,
AI Backend Engineer (Middle/Senior),"AI, Machine Learning, Deep Learning, TensorFlow, Python, NLP",4 years,Ho Chi Minh,TymeX,hybrid,,,
Mid/Senior Android Engineer,"Android, English, Clean Architecture, MVVM, Kotlin",4+ years,Ho Chi Minh,SMG Swiss Marketplace Group,hybrid,2000,4000,USD
Magento Frontend Developer,"CSS, English",3+ years,Ha Noi,BSS Group,onsite,1000,2000,USD
"Product Owner (Blockchain, AI)","Product Owner, Project Management, Product Management, AI, Blockchain, Team Management",3+ years,Ha Noi,AI AVATAR,onsite,1500,3000,USD
"Product Designer (UI-UX, Figma, Photoshop)","UI-UX, Adobe, Photoshop, Design, Figma, Adobe XD",3+ years,Ha Noi,AI AVATAR,onsite,1500,3000,USD
Games Backend Golang Engineer,"Golang, Games, Docker, MySQL, Kafka, English",3+ years,Ho Chi Minh,Vinsprite Tech,onsite,1500,2300,USD
Junior Game QA (Quality Assurance),"Games, Unity, 3ds, Max Blender",1+ years,Ho Chi Minh,Vinsprite Tech,onsite,570,950,USD
Senior Network Engineer (English & Japanese),"English, ",5+ years,Ho Chi Minh,Renesas Design Vietnam,hybrid,,,
Cloud Consultant,"Application, Security, AWS, API, OWASP,",,Ho Chi Minh,NetNam Corporation - Branch in HCMC,onsite,,,
Chuyên viên Kiểm thử phần mềm - Manual Tester,"Tester, Usability testing, Mobile Apps, Postman",2 years,Ha Noi,MB Bank,onsite,,,
Security Engineer (Cloud & CI/CD),"Application, Security, AWS, API, OWASP, Cloud Security, Microsoft Azure, SQL Database",2 years,Ha Noi,VIETTEL CUSTOMER SERVICE,onsite,1000,2000,USD
"Senior Software Engineering (Java, .NET, SQL, Agile)","ReactJs, TypeScript, JavaScript, Redux, Java, NodeJs",5 years,Ha Noi,Techcombank,onsite,,,
"AI Engineer (NLP, ML)","AI, Machine Learning, Deep Learning, TensorFlow, Python, NLP",3 years,Ha Noi,VIETTEL CUSTOMER SERVICE,onsite,1000,2000,USD
.NET developer (ERP sản xuất phức tạp),".NET, .Net Core, ERP, Bootstrap, JavaScript, Microsoft SQL Server",1 years,Ha Noi,Jinzai Tech,onsite,1000,1500,USD
Senior Fullstack Developer (ReactJS & Java) - English,"Java, AWS, Cloud, ReactJS, English",6+ years,Ho Chi Minh,Cloud Technology,hybrid,2500,3500,USD
Backend .NET Developer - CV Phát triển Ứng dụng nội bộ,".NET, .Net Core, ERP, Bootstrap, JavaScript",4 years,Ho Chi Minh,HDBank,onsite,,,
"Senior/ Middle Full-stack Developer (.NET, Java, PHP)",".NET, .Net Core, Bootstrap, Java, PHP",4+ years,Ho Chi Minh,BYCN IT Vietnam,hybrid,,,
"DevOps Engineer (AWS, Cloud)","DevOps,Terraform, Docker, Linux, Cloud, AWS",1 years,Ho Chi Minh,CUBICSTACK SOLUTIONS,onsite,1200,1800,USD
UI/ UX Designer,"UI-UX, Adobe, Photoshop, Design, Figma, Adobe XD",2+ years,Ho Chi Minh,Simpson Strong-Tie Vietnam,onsite,,,
Backend Developer (Java/ Odoo (Python)) - VIC,"Java, System Architecture, Spring Boot, Kafka, Oracle",02 years,Ha Noi,Viettel Group,onsite,800,2000,USD
