job_title,tech_stack,experience_years,location,company_name,remote_option,salary_min,salary_max,currency
"Fullstack Developer (PHP, Nodejs)","backend developer, it - phần mềm, thương mại..., backend developer, i...",4,Hà Nội,CÔNG TY TNHH FASTECH ASIA,onsite,20000000,25000000,VND
Thực Tập Sinh Phát Triển Website Giỏi SEO,"fullstack developer, không yêu cầu kinh ng..., fullstack develope...",,Hồ Chí Minh (mới),HeLiCorp,onsite,,,
.NET Developer_Từ 3 Năm Kinh Nghiệm,"fullstack developer, nghỉ thứ 7, 3 năm kinh ..., fullstack develope...",3,Hà Nội,Công ty Cổ phần Hệ thống Công nghệ ETC,onsite,35000000,35000000,VND
Android Developer,"mobile developer, it - phần mềm, nghỉ thứ 7, t..., mobile developer, it...",3,Hà Nội,Công Ty TNHH LG CNS VIỆT NAM,onsite,,,
Junior Dev Fullstack Java Kiêm ReactJS - Thu Nhập Upto 18 Triệu Tại Hà Nội,"fullstack developer, it - phần mềm, 1 năm ki..., fullstack develope...",1,Hà Nội,CÔNG TY TNHH KOBIZO VIỆT NAM,onsite,15000000,18000000,VND
Nhân Viên Software Developer - Backend (Dev) - Làm Việc Tại Hà Nội,"backend developer, đại họ..., backend developer, 3...",3,Hà Nội,BỆNH VIỆN ĐA KHOA PHƯƠNG ĐÔNG - CHI NHÁNH CÔNG TY TNHH TỔ HỢP Y TẾ PHƯƠNG ĐÔNG,onsite,,,
Kỹ Sư/Chuyên Viên Phần Mềm Nhúng,"software engineer, it - phần mềm, 1 năm kinh..., software engineer, i...",1,Hà Nội,TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,onsite,,,
Kỹ Sư Phát Triển Phần Mềm (Android Và Set-Top Box),"mobile developer, it - phần mềm, 1 năm kinh ..., mobile developer, it...",1,Hà Nội,TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,onsite,,,
Backend Engineer,"backend developer, it - phần mềm, 3 năm kinh..., backend developer, i...",3,Hà Nội,CÔNG TY TNHH PHẦN MỀM TOWER HÀ NỘI,onsite,,,
SAP Technical Lead (SAP ABAP) Tại Hà Nội,"software engineer, it - phần mềm, nghỉ thứ 7, software engineer, i...",5,Hà Nội,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,onsite,3000,3000,USD
Salesforce Developer,"software engineer, it - phần mềm, điện toán ..., software engineer, i...",3,Hà Nội,Công Ty TNHH LG CNS VIỆT NAM,onsite,,,
Kỹ Sư Front-End – Khu Vực Việt Nam (Cluega AI Quảng Cáo SaaS),"software engineer, đại họ..., software engineer, 3...",3,Hồ Chí Minh (mới),CÔNG TY TNHH SONIC FUSION,onsite,26000000,5000000,VND
Fullstack Developer/ Lập Trình Viên Fullstack- Có Từ Trên 3 Năm Kinh Nghiệm Fullstack,"fullstack developer, it - phần mềm, thương m..., fullstack develope...",3,Hà Nội,Công ty TNHH AIRCLOSET ENGINEERING,onsite,,,
"Java Developer (Mid/Senior), 20M – 45M VND","backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",2,Hà Nội,CÔNG TY TNHH SOFTROAD,onsite,20000000,45000000,VND
Lập Trình Viên Backend (Python),"software engineer, it - phần mềm, thương mại..., software engineer, i...",2,Hà Nội,CÔNG TY TNHH EAERA VIỆT NAM,onsite,600,900,USD
CVCC Delivery Management - TA189,"mobile developer, it - phần mềm, ngân hàng, ch..., mobile developer, it...",5,Hà Nội,Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank),onsite,,,
Lập Trình Viên Android (Domain Bank/Fintech),"mobile developer, nghỉ thứ 7, 3 năm kinh ngh..., mobile developer, ng...",3,Hà Nội,Công ty Cổ phần Atomi Digital,onsite,,,
Senior Mobile Developer,"mobile developer, it - phần mềm, nghỉ thứ 7, t..., mobile developer, it...",3,Hà Nội,Công ty Cổ phần Công nghệ Prep,onsite,25000000,35000000,VND
"Fresher Python Developer (6tháng-1 Năm KN, Offer 9-13M/Tháng)","backend developer, it - phần mềm, it - phần ..., backend developer, i...",1,Hà Nội,CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,onsite,9000000,13000000,VND
Fresher ReactJs/Nextjs,"frontend developer, it - phần mềm, 1 năm kin..., frontend developer",1,Hà Nội,CÔNG TY CỔ PHẦN OKHUB VIỆT NAM,onsite,7000000,12000000,VND
Lập Trình Viên .Net Thu Nhập 10 - 20 Triệu,"backend developer, it - phần mềm, 1 năm kinh..., backend developer, i...",1,Hà Nội,Công ty cổ phần phát triển ERP Việt Nam,onsite,10000000,20000000,VND
Java Software Engineer,"software engineer, it - phần mềm, nghỉ thứ 7, software engineer, i...",1,Hà Nội,Công ty TNHH Compax Software Development Việt Nam,onsite,,,
"Backend Developer Junior (NodeJS, NestJS)","backend developer, nghỉ thứ 7, 1 năm kinh ng..., backend developer, n...",1,Hồ Chí Minh (mới),CÔNG TY CỔ PHẦN ESTUARY,onsite,,,
"Intern Developer Backend (PHP, Ruby, NodeJs)","software engineer, it - phần mềm, nghỉ thứ 7, software engineer, i...",,Hà Nội,CÔNG TY TNHH BORDER Z VIETNAM,onsite,,,
"Fresher R&D Engineer – Data Warehouse(DWH) (C#, Java, Python)","fullstack developer, it - phần mềm, it - phầ..., fullstack develope...",1,Hồ Chí Minh (mới),CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,onsite,9000000,13000000,VND
Software Engineer - .NET Backend,"backend developer, it - phần mềm, 1 năm kinh..., backend developer, i...",1,Hồ Chí Minh (mới),CÔNG TY CỔ PHẦN CITEK ISD,onsite,,,
Java Engineer,"backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",1,Hồ Chí Minh (mới),CÔNG TY TNHH PANDA AGENCY,onsite,300,1500,USD
Python Software Engineer,"software engineer, it - phần cứng và máy t..., software engineer, i...",1,Hồ Chí Minh (mới),CÔNG TY CỔ PHẦN PI ASSOCIATES,onsite,12000000,35000000,VND
Lập Trình Viên. Net,"frontend developer, it - phần mềm, 3 năm kin..., frontend developer",3,Hà Nội,CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,onsite,,,
"Lập Trình Viên/ Backend Developer, Lương 15 - 25 Triệu","backend developer, it - phần mềm, 1 năm kinh..., backend developer, i...",1,Hà Nội,Công ty TNHH Giáo Dục Edmicro,onsite,15000000,25000000,VND
Frontend Middle Developer (Từ 2 Năm Kinh Nghiệm Trở Lên) - Thu Nhập Từ 20 Đến 28 Triệu (Net) Tại Hà Nội,"frontend developer, it - phần mềm, nghỉ thứ ..., frontend developer",2,Hà Nội,Open Reach Tech Hanoi,onsite,20000000,28000000,VND
